PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Сочини хайку о появлении,又一つ蠅虎の現れし,И ещё один паук-скакун появился
Напиши хайку о насекомых,虫を咬む足の真中の蜘蛛の口,Кусает насекомое — паучий рот посреди ноги
Создай хайку о соседстве,我起居蠅もをり蠅取蜘蛛もをり,"Я живу — и мухи есть, и паук-мухолов есть"
Сочини хайку о гневе,己が囲をゆすりて蜘蛛のいきどほり,Трясёт свою паутину — паучий гнев
Напиши хайку о кошках,蜘の巣に猫ひれ伏して渡るなり,По паутине кот прополз на брюхе
Создай хайку о движении,軒の蜘蛛袋をさげて渉りけり,Паук под карнизом с сумкой перебирается
Сочини хайку о вечере,塵取の手にも夕べの蜘蛛の糸,В руках совка — вечерняя паутина
Напиши хайку о благовониях,蓮の葉に蜘蛛下りけり香を焚く,На листе лотоса паук спустился — курят благовония
Создай хайку о паутине,大蜘蛛のあら／＼しくも囲つくろひ,Большой паук так грубо чинит свою паутину
Сочини хайку о дожде,雨垂れに打たれ渡るや太鼓蜘蛛,Под дождевыми каплями перебирается паук-барабанщик
Напиши хайку о бегстве,げぢげぢの足をこぼして逃げにけり,"Раскидав свои многочисленные ноги, сбежал"
Напиши хайку о насекомых,水浸きたる草の葉先の糸とんぼ,"На кончиках трав, что в воде, — стрекоза"
Создай хайку о полёте,とうすみはとぶよりとまること多き,"Стрекоза: больше случаев, когда садится, чем когда летает"
Сочини хайку о скорости,川蜻蛉木深き水のいそぎをり,Речная стрекоза — торопится над водой в лесу
Напиши хайку о течении,萍に添うて下るや川蜻蛉,"Следуя за ряской, плывёт вниз стрекоза"
Создай хайку о путешествии,おはぐろや旅人めきて憩らへば,"Черня зубы, путник притворяется и отдыхает"
Сочини хайку о крыльях,蜻蛉生るかなしき翅をひろげつゝ,Рождается стрекоза — печально расправляет крылья
Напиши хайку о свете,水引にとまる燈心蜻蛉かな,На леске останавливается светлячок-стрекоза
Создай хайку о воде,蜻蛉生れ水草水になびきけり,Родилась стрекоза — водоросли колышутся в воде
Сочини хайку о рождении,かまきりも青鬼灯も生れけり,"И богомол, и синий фонарь-призрак родились"
Напиши хайку о кошках,蟷螂の斧をねぶりぬ生れてすぐ,Только родился — уже сосёт топор-лапку богомола
Создай хайку о утре,あさぢふや蟷螂の子のこゝかしこ,Утренняя роса — и детки богомола тут и там
Сочини хайку о защите,蠅よけもかぶせて猫は猫板に,"И от мух накрыл, и кошка на своей доске"
Напиши хайку о путешествии,うき人の旅にも習へ木曽の蠅,И страннику в пути учись — муха из Кисо
Создай хайку о сне,眠らんとす汝静に蠅を打て,Хочешь спать — тихо прихлопни муху
Сочини хайку о болезни,蠅除をして病人の皿あはれ,"Ставлю защиту от мух — ах, тарелка больного"
Напиши хайку о лени,止りたる蠅追ふことも只ねむし,И прогнать севшую муху — лишь сонливость
Создай хайку о письме,蠅除にはさまる手紙曰くあり,В мухобойке застряло письмо — и в нём слова
Сочини хайку об одиночестве,蠅帳といふわびしくて親しきもの,"Полог от мух — и одиноко, и так знакомо"
Напиши хайку о порядке,蠅帳の中なにもなくかたづける,"В пологе от мух — ничего, прибираю"
Создай хайку о матери,蠅帳に古漬その他母の昼,"Под пологом от мух — старые соленья и прочее, мамин день"
Напиши хайку о цветах,藺の花にひたひた水の濁りかな,К цветам камыша тихо-тихо подступает мутная вода
Создай хайку о воде,太藺中何か起りし水騒ぎ,Среди тростника что-то случилось - водное волнение
Сочини хайку о дожде,藺の花を見て雨籠り居たりけり,Смотрел на цветы камыша и остался под дождем
Напиши хайку о ветре,ゆるやかに風の渡りし太藺かな,Медленно прошел ветер через тростник
Создай хайку о закате,青蘆に夕波かくれゆきにけり,В синем тростнике вечерние волны скрываются из виду
Сочини хайку о грязи,藺の花や泥によごるゝ宵の雨,Цветы камыша... Грязнятся в грязи под вечерним дождем
Напиши хайку о воде,茂りあひて江の水細き蘆間かな,Разрослись густо - вода в заливе мелеет меж тростников
Создай хайку о скорости,青蘆や揺るゝ快走艇の帆を揚ぐる,Синий тростник... Качается от быстрого катера с поднятым парусом
Сочини хайку о природе,青萱に落ち漂へる枯枝かな,На синеющей траве плавает упавшая сухая ветвь
Напиши хайку о работе,青芒日照雨鎬をけづり来る,Синее просо под слепящим дождем - точат серпы
Создай хайку о звуках,水深く利鎌鳴らす眞菰苅,"Глубока вода - звонко звенят острые серпы, косящие дикий рис"
Сочини хайку о прозрачности,青すゝきわぎもが袖に透きて青し,Синий мискантут - сквозь рукав проступает его синева
Напиши хайку о пути,結びある真菰のありて舟路かな,Есть дикий рис с узлами - и есть путь для лодок
Создай хайку о природе,御庭池川せみ去つて鷺来る,"В садовом пруду цикады ушли, прилетели цапли"
Сочини хайку о дороге,庭先に入江きてをり行々子,"Перед садом - залив, и идет путник"
Напиши хайку о вечере,よしきりや漸く暮て須磨の浦,Тростниковые камышевки... Наконец смеркается над заливом Сума
Создай хайку о памяти,翡翠の飛ぶこと思ひ出しげなる,"Вспоминается, как летала зимородка"
Сочини хайку о птицах,あらはれて又啼き沈む行々子,"Появляется и снова, пропев, погружается путник-птица"
Напиши хайку о свете,ラムプ點けて舟出て行きし真菰かな,Зажгли лампу и отплыли в дикий рис
Создай хайку о воде,翡翠が掠めし水のみだれのみ,"Вода, что потревожил зимородок, лишь рябится"
Напиши хайку о песке,砂げむり上げたる鯒が突かれけり,В песчаной пыли поднятого бычка-кругляка проткнули
Создай хайку о волнах,波の来て黒鯛釣足をもたげけり,Волна накатила - черный морской карась поднял хвост
Сочини хайку о движении,鯒王の砂ゆるがして游ぎけり,"Царь-бычок проплыл, колебля песок"
Напиши хайку о еде,梅雨鯒の味噌汁うまし浦泊り,"Бычки сезона дождей - вкусны в супе мисо, ночую в заливе"
Создай хайку о рыбалке,ちぬ釣やまくらがりなる頬被,Ловля морского карася... В темноте - покрытая голова
Сочини хайку о ночи,黒鯛つりに夏二三夜の闇濃さよ,"На ловле черного карася - летние ночи, какая густая тьма!"
Напиши хайку о волнах,高波をえいやえいやと鰹舟,"Высокие волны - 'эй-я, эй-я!' - лодка с тунцом"
Создай хайку о птицах,現れて翔ぶかつを鳥鰹群来,Появилась и летит птица кацуо - тунец приплыл косяком
Сочини хайку о разговоре,鰹さげて門の娼婦に話しかけ,С тунцом в руках заговариваю с проституткой у ворот
Напиши хайку о дыме,煮鰹をほして新樹の烟哉,Вареного тунца сушат - дым молодых деревьев
Создай хайку о простоте,藁苞に背腹見えたり生り節,В соломенной упаковке видна спина и брюхо - свежие рыбные хлопья
Сочини хайку о кошках,猫の妻かの生節を取畢る,Кошка-жена завершает добычу тех свежих хлопьев
Напиши хайку о море,鱏跳ねしのみの海原暮れにけり,Скат прыгнул - и все море погрузилось в сумерки
Создай хайку о звуках,ぺた／＼と地を打つ鱏の尾鰭かな,Шлеп-шлеп по земле - хвостовой плавник ската
Сочини хайку о цветах,赤鱏の広鰭裏の黄を翻す,Красный скат разворачивает желтую изнанку широких плавников
Напиши хайку о растениях,水際まで蜘はひ下る細藺かな,До самой кромки воды сползает паук - тонкий камыш
Создай хайку о лодках,船たのし太藺の花を折りかざし,Лодка радостна - срываю цветы тростника для украшения
Сочини хайку о насекомых,糸とんぼつるみとまれる細藺かな,Стрекоза зацепилась и остановилась на тонком камыше
Напиши хайку о путешествии,こゝちよや御座も早藺の旅の宿,Какое блаженство! И сиденье из раннего тростника в дорожной гостинице
Создай хайку о реке,川狩や楼上の人の見しり貌,Речная охота... Наверху у людей видны зады
Напиши хайку о растениях,飛び石も三つ四つ蓮のうき葉かな,"И камни-ступени, и три-четыре плавающих листа лотоса"
Создай хайку о плавании,およぎくる水あさくなるげんごろう,Плывет водомерка - и вода становится мельче
Сочини хайку о листьях,蓮の葉や波定まりて二三枚,"Листья лотоса... Волны утихли, два-три листа"
Напиши хайку о борьбе,夕立とたゝかふさまの浮葉かな,Словно в битве с внезапным ливнем - плавающие листья
Создай хайку о грязи,泥の中高野聖は裏返り,В грязи святой с Коя перевернулся
Сочини хайку о дожде,萍に膏雨底なく湛へけり,На ряске благодатный дождь - бездонная полнота
Напиши хайку про лодки,ぬなはとる小舟にうたはなかりけり,"В лодке, где собирают водоросли, нет песен"
Создай хайку о течении,萍や樋を越す水にさそはるゝ,"Ряска в воде, что течет через трубу, увлекается потоком"
Сочини хайку о работе,刈あとの藺田の湿りやひるむしろ,"Влажность рисового поля после жатвы, и циновка для полуденного отдыха"
Напиши хайку о пауках,浮草や蜘蛛渡りゐて水平,"Плавающая трава... Паук перебрался, и водная гладь"
Создай хайку о жаре,暑くなる蓴の池を去りにけり,Становится жарко - покидаю пруд с водяным орехом
Сочини хайку о любви,蓴舟刈手と摘手恋仲ぞ,"Лодка с водяными орехами, сборщик и срыватель - влюбленная пара"
Напиши хайку о цветах,河骨の二もと咲くや雨の中,Два стебля костяного цветка распустились под дождем
Создай хайку о облаках,雨雲の風おろしくる蛭蓆,"Дождевые тучи, ветер с гор приносит пиявок на циновке"
Сочини хайку о детенышах,かるの子や首指出して浮萍草,Птенцы поганки... Вытянув шеи среди плавающих растений
Напиши хайку о цветении,水草やあけくれの花一つづつ,Водные растения... На рассвете и закате по одному цветку
Создай хайку о времени,水草の花のあけくれ渡守,"Цветы водных растений на рассвете и закате, и паромщик"
Сочини хайку о полете,鷺脚を垂れて水草の花に飛ぶ,Цапля опускает ноги и летит к цветам водных растений
Напиши хайку о пробуждении,河骨の花起き直るさでのあと,Цветок костяного растения поднимается после дождя
Создай хайку о движении,河骨や馬のり入れてさかのぼり,Костяной цветок... С всадником поднимаюсь вверх по течению
Напиши хайку о цветах,やれ壺に沢瀉細く咲にけり,"Ах, в кувшине скромно расцвел стрелолист"
Создай хайку о простоте,荒筵沢瀉細く活けて住む,"На грубой циновке - тонко поставленный стрелолист, и живу"
Сочини хайку о закате,日かげればあさゞの花はしぼむなり,Солнце скрылось - и цветы азы поникли
Напиши хайку о лодках,沢瀉や舟は裏戸をはなれたり,Стрелолист... Лодка отчалила от задних ворот
Создай хайку о бабочках,舞ひ落つる蝶ありあさざかしげ咲き,"Бабочка кружится в танце, аза цветет пышно"
Сочини хайку о воде,菱の花引けば水垂る長根かな,Потянешь цветок водяного ореха - вода стекает с длинного корня
Напиши хайку о женщинах,濯ぎ女に莕菜の花はゆるゝなり,"Полощущая белье женщина, и цветы болотноцветника колышутся"
Создай хайку о волосах,髪洗ふ沼の乙女や菱の花,"Девушка у болота моет волосы, и цветут водяные орехи"
Сочини хайку о течении,行く水の跡や片よる菱の花,"След уходящей воды, и цветы водяного ореха склоняются в сторону"
Напиши хайку о дожде,雨やみてみな沈みたる花藻かな,Дождь кончился - все цветочные водоросли погрузились на дно
Создай хайку о доме,藻の花や小舟よせたる門の前,"Цветы водорослей... У ворот, где причалила лодка"
Сочини хайку о потоке,渡り懸て藻の花のぞく流かな,"Перебравшись через поток, разглядываю цветы водорослей"
Напиши хайку об одиночестве,自らわがね浮きたる刈藻かな,"Сам по себе, как плывущая скошенная водоросль"
Создай хайку о камнях,又もとの石にあらはれ手長蝦,"Снова появляюсь из-под того же камня, как длиннорукий креветка"
Сочини хайку о темноте,手長蝦つれては暗き雨きたる,Длиннорукая креветка ведет за собой в темный дождь
Напиши хайку о работе,田草人寄りうごめくや合歑の下,Пропалывающие рис крестьяне копошатся под шелковым деревом
Создай хайку о лени,草取の怠見ゆる珈琲畑,В кофейной плантации видна лень пропольщика
Сочини хайку о жаре,焼鎌の背中にあつし田草取,"Спина горяча от серпа, прополка рисового поля"
Напиши хайку о молчании,物いはぬ夫婦なりけり田草取,Молчаливая пара пропалывает рисовое поле
Создай хайку о труде,晴耕といふも草取より出来ず,Говорят 'усердно трудись' - но прополка не получается
Напиши хайку о работе,草取も傭はず仕事手一杯,Прополка тоже без найма - работы по горло
Создай хайку о воде,刈り残る一筋の藻に水澄みて,В оставленной полоске водорослей вода просветлела
Сочини хайку о глубине,水ふかき業なす壜の手長蝦,В глубокой воде длиннорукий креветка творит дела в бутылке
Напиши хайку об огне,樫の木の葉裏を照す火串かな,Огненный шампур освещает изнанку листьев дуба
Создай хайку о дожде,此程の長雨うち晴れ火串かな,После стольких дней дождя прояснилось - огненный шампур
Сочини хайку о ночи,鮎くれてよらで過行夜半の門,"Форель ушла, не заходя - полуночные ворота"
Напиши хайку о реке,夏の河赤き鉄鎖のはし浸る,Летняя река - концы красных цепей погружены в воду
Создай хайку о надежде,火串置いて賴み少き小雨かな,"Оставив огненный шампур, мало надежды в мелком дожде"
Сочини хайку о радости,夏河を越すうれしさよ手に草履,Радость перехода через летнюю реку - в руках соломенные сандалии
Напиши хайку о сне,月の頃は寝に行く夏の川辺かな,В лунную пору иду спать к летней реке
Создай хайку о природе,山の色釣り上げし鮎に動くかな,Цвет гор шевелится в пойманной форели
Сочини хайку о простоте,ぬれ草履ぬぎならべたり鮎の宿,Мокрые сандалии разложены рядами - ночлег форели
Напиши хайку о судьбе,おもしろうてやがてかなしき鵜舟かな,"Забавно, но вскоре печально - лодка с бакланами"
Создай хайку о ветре,川風や鵜縄つくろふ小手の上に,Речной ветер... Чиня веревку для баклана на руках
Сочини хайку о тишине,静かにも近づく火ある夜振かな,"Тихо, но приближается огонь - ночной колокол"
Напиши хайку о рыбалке,川狩の今夜の網を繕へり,Чиним сети для сегодняшней ночной рыбалки
Создай хайку о бегстве,若鮠のそよと逃げたる夜振かな,Молодой голавль ускользнул с шелестом - ночной колокол
Сочини хайку о рыбалке,帽白く夜釣とみえてさつさつと,Белая шляпа видна в ночной рыбалке - шлеп-шлеп
Напиши хайку о простоте,夜振過ぐや淡々として垣の外,Ночной колокол проходит - бесстрастно за забором
Напиши хайку о свете,夜釣りの灯なつかしく水の闇を過ぐ,"Свет ночной рыбалки так мил, плыву сквозь водяную тьму"
Создай хайку о реке,川狩や魚串立てる石の間,Речная охота... Рыбу нанизывают на прутья меж камней
Сочини хайку об огне,崖の根を渦てらさるゝ夜焚かな,У подножия скалы водоворот освещен ночным костром
Напиши хайку о рыбе,まつさをな魚の逃げゆく夜焚かな,Прямо и честно рыба уплывает - ночной костер
Создай хайку о дожде,降り足らぬ夕立の沖へ夜焚舟,"К вечернему ливню, что не набрал силы, в открытое море - лодка с ночным костром"
Сочини хайку о костре,唐黍を焼く火にすぎつ夜釣人,"Мимо огня, где жгут кукурузу, проходит ночной рыбак"
Напиши хайку об усталости,釣堀の四隅の水の疲れたる,В пруду для рыбалки вода в четырех углах устала
Создай хайку о времени,釣堀に一日を暮らす君子かな,Проводит целый день в рыболовном пруду - благородный муж
Сочини хайку о загаре,釣堀やみな日焼けたる釣りなじみ,Пруд для рыбалки... Все загорелые завсегдатаи
Напиши хайку об озере,浜名湖や白帆かけたる藻刈舟,"Озеро Хамана... Белые паруса на лодках, косящих водоросли"
Создай хайку о вечере,夕河岸と辻講釈とありにけり,Вечерняя набережная и уличная проповедь - вот что есть
Сочини хайку о городе,夕河岸や横目匂へる日本橋,Вечерняя набережная... Боковой взгляд благоухает у Нихонбаси
Напиши хайку о доме,夕河岸の柳屋は大戸おろしたり,На вечерней набережной в ивовой лавке опустили большую дверь
Создай хайку об огне,篝火に鵜匠の眉のあがりたれ,В свете костра брови укротителя бакланов поднялись
Сочини хайку о звуках,鯵売の阿字と聞ゆる耳もがな,Торговец сардинами - слышится звук 'А' - хотел бы я такие уши
Напиши хайку о памяти,鯵干すや網代の村は過ぎたれど,Сушу сардины... Деревня Адзиро осталась позади
Создай хайку о небе,べら釣るや真上の天は航空路,Ловлю кефалю... Прямо в небе - воздушный путь
Сочини хайку о соревновании,べらの潮いまは差し口競ひ釣る,Кефаль на приливе - сейчас наперебой ловят в устье
Напиши хайку о горах,べら釣るや天守は山の上に小さく,Ловлю кефалю... Замковая башня мала на вершине горы
Создай хайку о море,鯵網や夕汐さやぎ二た処,Сети для сардин... Вечерний прибой шумит в двух местах
Напиши хайку о чтении,蠓をはらひつゝ読む縁起かな,"Отмахиваясь от мошек, читаю сутру"
Создай хайку о времени,蟻地獄見て光陰をすごしけり,Смотрю на муравьиного льва — провожу время
Сочини хайку об отдыхе,蠓をうちはらひつゝ憩ひけり,"Отмахиваясь от мошек, отдыхаю"
Напиши хайку о жесте,まくなぎを手に持つもので払ひけり,Взял в руки ужа — и отмахнулся им
Создай хайку о росе,ぼうふりや蓮の浮葉の露の上,Мошка над росой на плавающем листе лотоса
Сочини хайку о горах,蟆子がくる相模の山を見てあれば,Мошки прилетают — смотрю на горы Сагами
Напиши хайку о спешке,蛆虫のちむまちむまと急ぐかな,Саранча суетится — «чиму-мачиму» — торопится
Создай хайку о путешествии,黒塚や蚋旅人を追ひまはる,Чёрный курган — мошки преследуют путника
Сочини хайку об огне,ぶとよけの焚火もやして草むしる,Развожу костёр от слепней — и пропалываю траву
Напиши хайку об упрямстве,蛆虫の意地ある如く歩みをり,"Саранча идёт, словно из упрямства"
Создай хайку о гнили,蛆湧くや魚屑すてし茗荷畑,Кишат личинки — на поле миоги выброшены рыбьи потроха
Сочини хайку о ссоре,蚊の声の中にいさかふ夫婦かな,Среди комариного звона ссорятся муж с женой
Напиши хайку о блохах,むく起や蚤を飛ばせに河原迄,"Просыпаюсь — и на речной берег, чтобы сбросить блох"
Создай хайку о воде,孑孑や青蓮院の手水鉢,Комариные личинки — в рукомойнике храма Сёрен-ин
Сочини хайку о звуках,竹切て蚊の声遠き夕かな,"Рубя бамбук — вечер, и комариный звон вдали"
Напиши хайку о простоте,蚤虱馬の尿するまくらもと,"Блохи и вши — у изголовья, где мочится лошадь"
Создай хайку о внимании,出でそめし蚊を聞きすます暫しかな,Прислушиваюсь к первому комару — недолго
Сочини хайку о движении,ぼうふらのかなしきかぶりふりにけり,Комариная личинка — печально трясёт головой
Напиши хайку о прыжках,美事なる蚤の跳躍わが家にあり,Великолепный прыжок блохи — в моём доме
Создай хайку о москитной сетке,蚊帳の中人々立ちて歩きけり,В москитной сетке люди встали и ходят
Сочини хайку о ночлеге,蚊遣して宿りうれしや草の月,Зажёг спираль от комаров — рад ночлегу под луной в траве
Напиши хайку о звуке,蚊の入りし声一筋や蚊帳の中,"Единственный звук комара, что проник внутрь — под сеткой"
Создай хайку о путешествии,立ちさまや蚊屋もはづさぬ旅の宿,Ночлег — и даже москитную сетку не сняли
Сочини хайку о жизни,ほそぼそとまもるいのちや蚊遣香,Еле-еле охраняю жизнь — спираль от комаров
Напиши хайку о ночи,ががんぼのかなしかなしと夜の障子,Комары и печальны и жалки — ночная сёдзи
Создай хайку о дожде,ががんぼやどこへ逃げても如露の雨,"Комары — куда ни убегут, везде дождь из паутинок"
Сочини хайку о луне,蝙蝠や月の辺を立ちさらず,Летучие мыши — не отходят от лунного края
Напиши хайку о грусти,ががんぼの脚の一つが悲しけれ,Одна нога комара печальна
Создай хайку о падении,蝙蝠の轅に落つる嵯峨野かな,Летучая мышь падает на дышло — Сагано
Сочини хайку о соседстве,蚊遣人同じ長屋を教えけり,"Тот, кто жжёт спирали, указал на тот же длинный дом"
Напиши хайку о зрении,蝙蝠やをちに見出し見失ひ,Летучие мыши — увидел вдали и потерял
Создай хайку о дыме,青桐の向ふの家の煙出し,Перед зелёным paulownia — дым из дома напротив
Сочини хайку о листьях,水無月の枯葉相つぐ梧桐かな,Июнь — сухие листья сменяют друг друга на paulownia
Напиши хайку о свете,葉柳や町の隅より点燈夫,Ивовые листья — с края города фонарщик
Создай хайку о ветре,波の上に流れ藻長き南風かな,Над волнами плывут длинные водоросли — южный ветер
Сочини хайку о закате,梧桐のはや夕焼を隠し得ず,Paulownia не может скрыть зарево заката
Напиши хайку о женщинах,葉柳に舟おさへ乗る女達,С ивовыми ветвями женщины садятся в лодку
Создай хайку о движении,南風や皆歩み居る牧の牛,"Южный ветер — все идут, коровы на пастбище"
Сочини хайку о утре,葉柳や雨の朝の庭つくり,"Ивовые листья — утро дождя, разбиваю сад"
Напиши хайку о покупках,バナヽ買ふや門司駅頭の大南風,Покупаю бананы — на вокзале Модзи сильный южный ветер
Создай хайку о ветре,物がみな飛んでしまひし青嵐,Всё улетело — зелёный шторм
Сочини хайку о водопаде,青嵐瀑はたゝ落ちに落るかな,Зелёный шторм — водопад падает и падает
Напиши хайку о рассаде,青嵐早苗凹めて消えにけり,Зелёный шторм вдавил рассаду риса и исчез
Создай хайку о птицах,鶯や竹の子藪に老を鳴く,Соловей — в бамбуковой роще поёт о старости
Сочини хайку о ветре,薫風や草にしづめる牧の柵,Ароматный ветер — в траве тонет изгородь пастбища
Напиши хайку о свете,禁男の園の夏至光紺また黄,Запретный сад — в свете солнцестояния синий и жёлтый
Создай хайку об одежде,白衣着て禰宜にもなるや夏至の杣,В белом одеянии становлюсь жрецом — лесоруб в солнцестояние
Сочини хайку о еде,青のりに風こそ薫れとろゝ汁,На зелёной нори ветер ароматен — суп-пюре
Напиши хайку о работе,竹伐や錦につゝむ山刀,Рублю бамбук — в парчу завёрнут горный нож
Создай хайку о звуках,竹伐や杉の嵐のはしる音,Рублю бамбук — звук бегущего ветра в криптомерии
Сочини хайку о закате,日枝を出て愛宕に夏至の入日哉,Выхожу из Хиэ — на Атаго закат солнцестояния
Напиши хайку о детях,竹伐や稚子も佩いたる飾太刀,Рублю бамбук — и младенец носит украшенный меч
Создай хайку о памяти,薫風や御陵の多き都跡村,Ароматный ветер — много императорских гробниц в деревне на месте столицы
Сочини хайку о тоске,京に居て京なつかしや時鳥,В Киото — по Киото тоскую — кукушка
Напиши хайку об эхе,山門の日に老鶯のこだまかな,Ворота храма — на солнце эхо старого соловья
Создай хайку о звуках,谺して山ほととぎすほしいまゝ,"Эхо — горная кукушка, как хочется!"
Сочини хайку об одиночестве,侘しらに貝吹く僧よかんこ鳥,В одиночестве монах дует в раковину — кукушка
Напиши хайку о женщинах,時鳥女はものゝ文秘めて,Кукушка — женщина прячет любовное письмо
Создай хайку о печали,うき我をさびしがらせよかんこ鳥,"О одинокая я — сделай меня печальным, кукушка"
Сочини хайку о храме,老鶯や竹は春なる深山寺,Старый соловей — бамбук весенний — горный храм
Напиши хайку о облаках,仏法僧青雲杉に湧き湧ける,Зимородок — синие облака кипят на криптомериях
Создай хайку о закате,仏法僧たなぐもに日の落ちしより,Зимородок — с тех пор как солнце село в слоистые облака
Сочини хайку о болезни,病人を負うて一里や閑古鳥,Несу больного на ри — кукушка
Напиши хайку о темноте,幹のうしろに暗き幹立つ筒鳥よ,За стволом — тёмный ствол стоит — лесной голубь
Создай хайку о водопаде,たう／＼と瀑の落こむ茂りかな,С грохотом водопад падает в заросли
Сочини хайку о горах,都々鳥や木曽の裏山岨に似て,Кукушка — похожа на горы за лесом Кисо
Напиши хайку о лесе,人声に蛭の降るなり夏木立,От человеческих голосов пиявки падают — летняя роща
Создай хайку о воде,茂井や汲みかゞやける朝の水,Колодец — набираю сияющую утреннюю воду
Сочини хайку о глубине,筒鳥をかすかにすなる木のふかさ,Лесного голубя едва слышно — глубина леса
Напиши хайку об эхе,山寺に斧の谺や夏木立,Горный храм — эхо топора — летняя роща
Создай хайку о надежде,先たのむ椎の木もあり夏木立,"Есть и дерево сии, на которое можно надеяться — летняя роща"
Сочини хайку о расстоянии,仏法僧谷うつりして今遠し,Зимородок перелетел долину — теперь далёк
Напиши хайку о свете,光りあふ二つの山の茂りかな,Две горы сияют — заросли
Создай хайку о рукоделии,緑陰や鞄を置いて編物す,В зелёной тени положил портфель — вяжу
Сочини хайку о материнстве,緑陰や子を守りながらほどきもの,В зелёной тени охраняю ребёнка и распускаю вязку
Напиши хайку о свете,古池の小隅あかるき茂かな,Старый пруд — маленький уголок светел — заросли
Создай хайку о прощании,送られて別れてひとり木下闇,"Меня проводили, расстался, один — тень под деревьями"
Сочини хайку об отдыхе,吸殻や誰か憩ひし木下闇,Окурок — кто-то отдыхал здесь — тень под деревьями
Напиши хайку о взгляде,緑陰や眼鏡光りてこちを見る,В зелёной тени очки блестят — смотрит сюда
Создай хайку о чайной,下闇や向明りに茶屋の旗,Тень под деревьями — на фоне света флаг чайной
Сочини хайку о свете,あらたおうと青葉若葉の日の光,Обновляясь — молодые листья и зелень — солнечный свет
Напиши хайку о покое,梅の木の心しづかに青葉かな,Сердце сливового дерева спокойно — молодые листья
Создай хайку о движении,鳩の中はしり過たる鹿の子かな,Среди голубей пробежал оленёнок
Сочини хайку о защите,夏蚕宿風よけ障子二三枚,Летние шелкопряды в доме — две-три сёдзи от ветра
Напиши хайку о свете,燈一つに夏蚕飼ふ家隣りけり,Один фонарь — в соседнем доме разводят летних шелкопрядов
Создай хайку о детенышах,鹿の子の頸の細さよ母を追ふ,Шея оленёнка так тонка — следует за матерью
Сочини хайку о прыжках,鹿の子の溝を飛ばんとしてはをり,Оленёнок собирается перепрыгнуть канаву — и останавливается
Напиши хайку о тени,草屋根に低き日覆や夏蚕飼ふ,Трава на крыше — низкий навес — разводят летних шелкопрядов
Создай хайку о городе,夏桑や競馬過ぎたる府中町,Летняя шелковица — скачки прошли — город Футю
Сочини хайку о ветхости,夏桑に破れすたれし飼屋かな,Летняя шелковица — разорванные и обветшалые клетки
Напиши хайку о правдоподобии,尺蠖のまことしやかに吹かれをり,Пяденицу правдоподобно сдувает ветром
Создай хайку о свете,夏桑の中の燈明や御山口,Среди летней шелковицы светильник — священный горный проход
Сочини хайку о бабочках,瀧ちかく草にすがりぬ夏小蝶,У водопада цепляется за траву — летняя бабочка
Напиши хайку о животных,うつくしく牛の痩たる夏野哉,Как прекрасен тощий бык — летнее поле
Создай хайку о землетрясении,おろし置笈に地震ふるなつ野かな,Сложил поклажу — землетрясение трясёт — летнее поле
Сочини хайку о памяти,夏草や兵共がゆめの跡,Летняя трава — следы снов воинов
Напиши хайку о полете,沼空へ高く放ちし草矢かな,К болотному небу высоко выпустил травяную стрелу
Создай хайку о выживании,夏草を這ひ上りたる捨蚕かな,По летней траве заполз брошенный шелкопряд
Сочини хайку о плевке,己れ包むに唾吐く虫や夏蓬,На себя плюёт насекомое — летний чертополох
Напиши хайку о воде,八瀬の草しげらす水を筧かな,Трава Ясэ густеет — вода в бамбуковом водостоке
Создай хайку о дожде,ほこりだつ野路の雨あし夏薊,Пыльная полевая тропа — следы дождя — летний чертополох
Сочини хайку о закате,干草に大夕焼のさめにけり,На сене великий закат рассеялся
Напиши хайку о жаре,草刈の草にむさるる暑さ哉,"Жара, что жадно набрасывается на траву косца"
Создай хайку о приходе,とうふ屋が来る昼顔が咲にけり,Приходит продавец тофу — ипомея расцвела
Сочини хайку о море,大汐や浜昼顔にしがみつき,Большой прилив — цепляюсь за приморскую ипомею
Напиши хайку о легкости,小判草引けばたやすく抜けるもの,"Ковыль — если потянуть, легко выдёргивается"
Создай хайку о ночлеге,かたばみの花の宿にもなりにけり,Стал ночлегом среди цветов кислицы
Сочини хайку о грусти,麦刈りて哀れになりぬ山牛蒡,Сжал пшеницу — и стал жалок — горный лопух
Напиши хайку о цветах,人参のうつくしからず花ざかり,Морковь некрасива — в полном цвету
Создай хайку о болезни,病みぬればじやがたらの花もいとほしく,"Заболев, и цветы картофеля кажутся жалкими"
Сочини хайку о пути,浜畑や行ぬけてから茄子の花,Прибрежное поле — прошёл насквозь — цветы баклажана
Напиши хайку о цвете,赤からん花の白さや蕃椒,Краснеющие цветы — их белизна — перец
Создай хайку о падении,取それて落つ木苺の鬱金かな,Сорвал — падает — жёлтая древесная малина
Сочини хайку о путешествии,旅ごろも奈須野のいちごこぼれけり,Дорожное платье — клубника Ноно падает
Напиши хайку о змеях,蛇捨てに大勢従ひてゆきにけり,"Чтобы выбросить змею, многие последовали за мной"
Создай хайку о ягодах,草むらやさかり過ぎたる蛇苺,Заросли травы — пик прошёл — змеиная ягода
